#T	G
298	5.93E+04
300	5.89E+04
400	3.46E+04
500	9.58E+03
600	-1.62E+04
700	-4.25E+04
800	-6.94E+04
900	-9.67E+04
1000	-1.24E+05
1100	-1.52E+05
1200	-1.81E+05
1300	-2.10E+05
1400	-2.39E+05
1500	-2.68E+05
1600	-2.97E+05
1700	-3.27E+05
1800	-3.57E+05
1900	-3.87E+05
2000	-4.18E+05
2100	-4.48E+05
2200	-4.79E+05
2300	-5.10E+05
2400	-5.41E+05
2500	-5.72E+05
2600	-6.04E+05
2700	-6.35E+05
2800	-6.67E+05
2900	-6.99E+05
3000	-7.31E+05
3100	-7.63E+05
3200	-7.95E+05
3300	-8.27E+05
3400	-8.59E+05
3500	-8.92E+05
3600	-9.25E+05
3700	-9.57E+05
3800	-9.90E+05
3900	-1.02E+06
4000	-1.06E+06
