#T	G
298	2.23E+05
300	2.23E+05
400	1.99E+05
500	1.74E+05
600	1.49E+05
700	1.23E+05
800	9.67E+04
900	6.98E+04
1000	4.25E+04
1100	1.48E+04
1200	-1.33E+04
1300	-4.16E+04
1400	-7.02E+04
1500	-9.91E+04
1600	-1.28E+05
1700	-1.58E+05
1800	-1.87E+05
1900	-2.17E+05
2000	-2.47E+05
2100	-2.77E+05
2200	-3.07E+05
2300	-3.38E+05
2400	-3.69E+05
2500	-3.99E+05
2600	-4.30E+05
2700	-4.62E+05
2800	-4.93E+05
2900	-5.24E+05
3000	-5.56E+05
3100	-5.87E+05
3200	-6.19E+05
3300	-6.51E+05
3400	-6.83E+05
3500	-7.15E+05
3600	-7.48E+05
3700	-7.80E+05
3800	-8.12E+05
3900	-8.45E+05
4000	-8.78E+05
