H1	J						
He1	J						
C1	J						
N1	J						
O1	J						
F1	J						
Ne1	J						
Na1	J						
Mg1	J						
Al1	J						
Si1	J						
P1	J						
S1	J						
Cl1	J						
Ar1	J						
K1	J						
Ca1	J						
Ti1	J						
Cr1	J						
Mn1	J						
Fe1	J						
Co1	J						
Ni1	J						
Al2	J						
Al1Cl1F1	J						
Al1F2	J						
Al1Cl2	J						
Al1F2O1	J						
Al1Cl1	J						
Al1Cl1O1	J						
Al1F1	J						
Al1H1	J						
Al1H1O1_cis	J						
Al1H1O1_trans	J						
Al1H1O2	J						
Al1N1	J						
Al1O1	J						
Al1O2	J						
Al1S1	J						
Al2O1	J						
Al2O2	J						
C1Cl1	J						
C1Cl1N1	J						
C1Cl1O1	J						
C1Cl2	J						
C1Cl2F2	J						
C1Cl2O1	J						
C1Cl3	J						
C1Cl4	J						
C1F1	J						
C1F1N1	J						
C1F1O1	J						
C1F2	J						
C1F2O1	J						
C1F3	J						
C1F4	J						
C1F4O1	J						
C1H1	J						
C1H1Cl3	J						
C1H1F1O1	J						
C1H1F3	J						
C1H1N1	J						
C1H1N1O1	J						
C1H1O1	J						
C1H1P1	J						
C1H2	J						
C1H2Cl1F1	J						
C1H2F2	J						
C1H2O1	J						
C1H3	J						
C1H3Cl1	J						
C1H3F1	J						
C1H4	J						
C1K1N1	J						
C1N1	J						
C1N1Na1	J						
C1N1O1	J						
C1N2_cis	J						
C1N2_trans	J						
C1O1	J						
C1O1S1	J						
C1O2	J						
C1P1	J						
C1S1	J						
C1S2	J						
C2	J						
C2Cl2	J						
C2Cl4	J						
C2Cl6	J						
C2F2	J						
C2F4	J						
C2F6	J						
C2H1	J						
C2H1Cl1	J						
C2H1F1	J						
C2H2	J						
C2H4	J						
C2H4O1	J						
C2K2N2	J						
C2N1	J						
C2N2	J						
C2N2Na2	J						
C2O1	J						
C3	J						
C3O2	J						
C4	J						
C4N2	J						
C5	J						
Ca1Cl2	J						
Ca1F1	J						
Ca1F2	J						
Ca1H1O1	J						
Ca1H2O2	J						
Ca1O1	J						
Ca1S1	J						
Cl1Co1	J						
Cl1F1	J						
Cl1F1O3	J						
Cl1F2O1P1	J						
Cl1F3	J						
Cl1F5	J						
Cl1H1	J						
Cl1H1O1	J						
Cl1K1	J						
Cl1Mg1	J						
Cl1N1O1	J						
Cl1N1O2	J						
Cl1Na1	J						
Cl1O1	J						
Cl1O1Ti1	J						
Cl1O2	J						
Cl1P1	J						
Cl1Ti1	J						
Cl2	J						
Cl2Co1	J						
Cl2F1O1P1	J						
Cl2K2	J						
Cl2Mg1	J						
Cl2Na2	J						
Cl2O1	J						
Cl2Ti1	J						
Cl3Co1	J						
Cl3O1P1	J						
Cl3P1	J						
Cl3P1S1	J						
Cl4Co2	J						
Cl5P1	J						
Co1F2	J						
Cr1O1	J						
Cr1O2	J						
Cr1O3	J						
F1H1	J						
F1H1O1	J						
F1K1	J						
F1N1	J						
F1N1O1	J						
F1N1O2	J						
F1N1O3	J						
F1Na1	J						
F1O1	J						
F1O1Ti1	J						
F1O2	J						
F1P1	J						
F1P1S1	J						
F1Mg1	J						
F1Ti1	J						
F2	J						
F2K2	J						
F2N1	J						
F2N2_cis	J						
F2N2_trans	J						
F2Na2	J						
F2O1	J						
F2O1S1	J						
F2O2S1	J						
F2P1	J						
F2Ti1	J						
F3N1	J						
F3O1P1	J						
F3P1	J						
F3P1S1	J						
F4N2	J						
F4S1	J						
F5P1	J						
F6S1	J						
H1K1	J						
H1K1O1	J						
H1Mg1	J						
H1Mg1O1	J						
H1N1	J						
H1N1O1	J						
H1N1O2_cis	J						
H1N1O2_trans	J						
H1N1O3	J						
H1Na1	J						
H1Na1O1	J						
H1O1	J						
H1O2	J						
H1P1	J						
H1S1	J						
H1Si1	J						
H2	J						
H2Mg1O2	J						
H2N1	J						
H2N2	J						
H2Na2O2	J						
H2O1	J						
H2O4S1	J						
H2P1	J						
H2S1	J						
H3N1	J						
H3P1	J						
H4N2	J						
K1O1	J						
K2	J						
K2O4S1	J						
Mg1N1	J						
Mg1O1	J						
Mg1S1	J						
N1O1	J						
N1O2	J						
N1O3	J						
N1P1	J						
N1S1	J						
N1Si1	J						
N2	J						
N2O1	J						
N2O3	J						
N2O4	J						
Na2O4S1	J						
N2O5	J						
N3	J						
Na1O1	J						
Na2	J						
O1P1	J						
O1S1	J						
O1S2	J						
O1Si1	J						
O1Ti1	J						
O10P4	J						
O2	J						
O2P1	J						
O2S1	J						
O2Si1	J						
O2Ti1	J						
O3	J						
O3S1	J						
O6P4	J						
P1S1	J						
P2	J						
P4	J						
P4S3	J						
S1Si1	J						
S2	J						
S8	J						
Al1F1O1	J						
C1Cl1F3	J						
C1Cl3F1	J						
C1F8S1	J						
C1H1Cl1	J						
C1H1Cl1F2	J						
C1H1Cl2F1	J						
C1H1F1	J						
C1H2Cl2	J						
C1Cl1F1O1	J						
Ca1Cl1	J						
Cr1N1	J						
F2S2_cis	J						
F2S2_trans	J						
F1H1O3S1	J						
F2H2	J						
F3H3	J						
F4H4	J						
F5H5	J						
F6H6	J						
F7H7	J						
H2K2O2	J						
F3N1O1	J						
Ni1S1	J						
Fe1O1	J						
Cl1S1	J						
Cl1F5S1	J						
Cl2S1	J						
F1S1	J						
F2S1	J						
F3S1	J						
Cl2O2S1	J						
Cl1F1O2S1	J						
Cl1S2	J						
F10S2	J						
S3	J						
S4	J						
S5	J						
S6	J						
S7	J						
C2H4O1	J						
O10P4	J						
Cl2Cr1	K	-146237	307.947	61.116	1.356	-0.343	0
Cl2Cr1O2	K	-538623	329.000	105.311	1.326	-2.209	0
Cr1S1	K	347272	251.584	37.062	0.18	-0.285	0
F2Mn1	K	-527882	281.374	62.208	0.059	-0.444	0
Cl2Mn1	K	-264119	295.39	61.584	0.477	-0.41	0
S1Ti1	K	330536	246.505	36.995	0.222	-0.297	0
Ni1O1	K	309616	241.358	39.819	1.54	-0.573	0
Co1O1	P						
Mn1O1	P						
